rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
3995,Prince of Persia: The Two Thrones,Adventure,M,Xbox,Ubisoft,Ubisoft Montreal,0.58,0.33,0.22,,0.03,2005,85.0,8.4
3996,Xenosaga Episode II: Jenseits von Gut und Bose,Role-Playing,T,PlayStation 2,Namco,Monolith Soft,0.58,0.28,0.22,,0.07,2005,,
3997,I Am Bread,Simulation,E10,PC,Bossa Studios,Bossa Studios,0.58,,,,,2015,,
3998,Gex: Enter The Gecko,Platform,E,PlayStation,Midway Games,Crystal Dynamics,0.58,0.32,0.22,,0.04,1998,,
3999,Shrek 2: Beg for Mercy,Adventure,E,Game Boy Advance,Activision,Vicarious Visions,0.58,0.42,0.15,,0.01,2004,,
4000,Contra: Shattered Soldier,Shooter,T,PlayStation 2,Konami,Konami Computer Entertainment Tokyo,0.58,0.28,0.22,,0.07,2002,78.0,6.6
4001,Championship Motocross featuring Ricky Carmichael,Racing,E,PlayStation,THQ,Funcom,0.58,0.32,0.22,,0.04,1999,,
4002,Dragon Ball Z: Chou Saiya Densetsu,Role-Playing,,SNES,Bandai,TOSE,0.58,,,0.58,,1992,,
4003,NEKOPARA Vol. 1,Visual Novel,,PC,Unknown,Neko Works,0.58,,,,,1992,,
4004,Skate it,Sports,E,Nintendo Wii,Electronic Arts,EA Montreal,0.58,0.5,0.03,,0.04,2008,70.0,8.4
4005,Disney Magic World 2,Simulation,E,Nintendo 3DS,Nintendo,High Horse Entertainment,0.58,0.07,0.25,0.23,0.02,2016,,
4006,My Secret World by Imagine,Misc,E,Nintendo DS,Ubisoft,Ubisoft Milan,0.58,0.38,0.19,,0.01,2008,,8.8
4007,Fire Emblem: Seisen no Keifu,Strategy,,SNES,Nintendo,Intelligent Systems,0.58,,,0.58,,1996,,
4008,ABZU,Adventure,E,PC,505 Games,Giant Squid Studios,0.58,,,,,2016,,
4009,Tenchu 2: Birth of the Stealth Assassins,Action,M,PlayStation,Activision,Acquire,0.58,0.32,0.22,,0.04,2000,77.0,8.7
4010,Sniper Elite: Nazi Zombie Army,Shooter,,PC,Unknown,Rebellion Games,0.58,,,,,2000,,
4011,Tony Hawk's Pro Skater 4,Sports,T,GameCube,Activision,Neversoft Entertainment,0.58,0.45,0.12,,0.02,2002,91.0,8.6
4012,Disgaea 4: A Promise Unforgotten,Role-Playing,T,PlayStation 3,NIS America,Nippon Ichi Software,0.58,0.27,0.11,0.14,0.06,2011,80.0,7.8
4013,Doom 3 BFG Edition,Misc,,PlayStation 3,Bethesda Softworks,Unknown,0.58,0.26,0.22,,0.1,2012,67.0,6.4
4014,Naruto: Uzumaki Chronicles 2,Action,T,PlayStation 2,Namco Bandai,Cavia Inc.,0.58,0.28,0.22,,0.07,2007,52.0,6.9
4015,NHL 06,Sports,E10,PlayStation 2,EA Sports,EA Canada,0.58,0.48,0.02,,0.08,2005,78.0,8.5
4016,Transformers: The Game,Action,T,Nintendo Wii,Activision,Traveller's Tales,0.58,0.5,0.03,,0.05,2007,,
4017,NFL Blitz 2000,Sports,E,Nintendo 64,Midway Games,Avalanche Software,0.58,0.55,0.02,,0.0,1999,,
4018,Madden NFL 2002,Sports,E,Xbox,EA Sports,EA Sports,0.58,0.53,0.02,,0.03,2001,90.0,8.1
4019,NCAA Football 10,Sports,E,PlayStation 2,EA Sports,EA Tiburon,0.58,0.28,0.22,,0.07,2009,,
4020,Rapala: We Fish,Sports,E,Nintendo Wii,Activision,FUN Labs,0.57,0.52,0.02,,0.04,2009,,
4021,Theme Park,Strategy,E,PlayStation,Electronic Arts,Bullfrog Productions,0.57,0.24,0.16,0.13,0.04,1995,,
4022,The Lego Ninjago Movie Videogame,Action,E10,PlayStation 4,Warner Bros. Interactive Entertainment,Traveller's Tales,0.57,0.16,0.32,,0.09,2017,,
4023,Far Cry Instincts,Shooter,M,Xbox,Ubisoft,Ubisoft Montreal,0.57,0.32,0.24,,0.02,2005,85.0,5.7
4024,ATV Offroad Fury: Blazin' Trails,Racing,E,PlayStation Portable,Sony Computer Entertainment,Climax Group,0.57,0.53,0.0,,0.04,2005,63.0,7.8
4025,Hasbro Family Game Night,Misc,E,PlayStation 2,Electronic Arts,EA Bright Light,0.57,0.28,0.22,,0.07,2008,,
4026,Yokai Sangokushi,Action,,Nintendo 3DS,Level 5,Level 5,0.57,,,0.57,,2016,,
4027,Tony Hawk's Pro Skater 4,Sports,E,Game Boy Advance,Activision,Vicarious Visions,0.57,0.41,0.15,,0.01,2002,85.0,8.8
4028,Tomb Raider: Anniversary,Action,T,PlayStation Portable,Eidos Interactive,Crystal Dynamics,0.57,0.21,0.23,,0.13,2007,78.0,8.2
4029,BlazBlue: Calamity Trigger,Fighting,T,PlayStation 3,Aksys Games,Arc System Works,0.57,0.36,0.1,0.06,0.06,2009,87.0,8.4
4030,Resident Evil: Revelations 2,Action,M,PlayStation 4,Capcom,Capcom,0.57,0.14,0.25,0.11,0.07,2015,75.0,7.7
4031,Tales of the Abyss,Role-Playing,T,PlayStation 2,Namco,Namco Tales Studio,0.57,,,0.57,,2006,78.0,8.4
4032,Bayonetta 2,Action,M,Nintendo Switch,Nintendo,PlatinumGames,0.57,0.26,0.2,0.07,0.04,2018,,
4033,LEGO Marvel Super Heroes 2,Action,E10,Xbox One,Warner Bros. Interactive Entertainment,Traveller's Tales,0.57,0.32,0.2,,0.05,2017,,
4034,Blacksite: Area 51,Shooter,T,Xbox 360,Midway Games,Midway Studios Austin,0.57,0.29,0.23,,0.06,2007,62.0,6.1
4035,Ultra Street Fighter II: The Final Challengers,Fighting,T,Nintendo Switch,Capcom,Capcom,0.57,0.22,0.22,0.09,0.04,2017,,
4036,Petz Dogz 2,Simulation,E,Nintendo Wii,Ubisoft,Yuke's Media Creations,0.57,0.52,0.01,,0.04,2007,,
4037,StarCraft II: Legacy of the Void,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,0.57,0.23,0.3,,0.05,2015,88.0,8.3
4038,Rock Band 3,Misc,T,PlayStation 3,MTV Games,Harmonix Music Systems,0.57,0.43,0.09,,0.06,2010,91.0,8.0
4039,Lego Marvel Super Heroes: Universe in Peril,Action,E10,PlayStation Vita,Warner Bros. Interactive Entertainment,TT Fusion,0.57,0.11,0.33,,0.13,2014,,
