rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
1837,Championship Manager 03/04,Sports,,PC,Eidos Interactive,Sports Interactive,1.26,,1.15,,0.11,2003,,
1840,Football Manager 2011,Sports,E,PC,Sega,Sports Interactive,1.26,,1.01,,0.24,2010,85.0,8.4
1860,RollerCoaster Tycoon 2,Strategy,E,PC,Atari,Chris Sawyer,1.25,1.19,0.06,,,2002,74.0,8.5
1888,Aliens vs Predator,Shooter,M,PC,Sega,Rebellion Developments,1.23,,,,,2010,68.0,7.4
1906,Slime Rancher,Simulation,E10,PC,Monomi Park,Monomi Park,1.22,,,,,2017,,
1955,Hand Simulator,Simulation,,PC,Unknown,HFM Games,1.2,,,,,2013,,
1975,Mortal Kombat Komplete Edition,Fighting,M,PC,Warner Bros. Interactive Entertainment,NetherRealm Studios,1.19,,,,,2013,,
1994,NieR: Automata,Role-Playing,,PC,Square Enix,PlatinumGames,1.18,,,,,2017,,
2020,World of Warcraft,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,1.16,,,,,2004,93.0,7.3
2024,Spore,Strategy,E10,PC,Electronic Arts,Maxis,1.16,0.03,1.06,,0.07,2008,84.0,5.3
2029,Stranded Deep,Adventure,,PC,Unknown,Beam Team Games,1.15,,,,,2009,,
2031,Worldwide Soccer Manager 2009,Simulation,,PC,Sega,Sports Interactive,1.15,,1.15,,0.01,2008,83.0,8.1
2047,Call of Duty 4: Modern Warfare,Shooter,M,PC,Activision,Infinity Ward,1.15,,1.12,,0.03,2007,92.0,8.5
2052,Enter the Gungeon,Shooter,,PC,Devolver Digital,Dodge Roll,1.14,,,,,2016,,
2062,Conan Exiles,Action-Adventure,,PC,Maximum Games,Funcom Oslo A/S,1.14,,,,,2018,,
2075,Final Fantasy VII,Role-Playing,T,PC,Eidos Interactive,SquareSoft,1.14,,,,,1998,,
2089,Total War: Rome II,Strategy,T,PC,Sega,The Creative Assembly,1.13,,,,,2013,76.0,4.2
2101,Miscreated,MMO,,PC,Unknown,Entrada Interactive,1.12,,,,,2001,,
2113,Worldwide Soccer Manager 2008,Sports,,PC,Saga Planets,Sports Interactive,1.12,,1.12,,0.0,2007,86.0,8.0
2116,Farming Simulator 17,Simulation,E,PC,Focus Home Interactive,Giants Software,1.12,0.11,0.94,,0.07,2016,64.0,8.0
2140,Orcs Must Die!,Strategy,T,PC,Unknown,Robot Entertainment,1.11,,,,,2011,,
2152,Kingdom Come: Deliverance,Role-Playing,M,PC,Warhorse Studios,Warhorse Studios,1.1,,,,,2018,,
2159,StarCraft II: Heart of the Swarm,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,1.1,,,,,2013,86.0,7.9
2164,"Warhammer 40,000: Space Marine",Shooter,M,PC,THQ,Relic Entertainment,1.1,,,,,2011,74.0,7.4
2172,Farming Simulator 2015,Simulation,E,PC,Focus Home Interactive,Giants Software,1.1,0.09,0.94,,0.07,2014,,
2175,F.E.A.R. 3,Shooter,M,PC,Warner Bros. Interactive,Day 1 Studios,1.1,,,,,2011,74.0,5.9
2191,Sniper: Ghost Warrior 2,Shooter,M,PC,City Interactive,City Interactive,1.09,,,,,2013,52.0,5.8
2199,To the Moon,Misc,,PC,Unknown,Freebird Games,1.09,,,,,2011,,
2228,Championship Manager 99/00,Sports,,PC,Eidos Interactive,Sports Interactive,1.07,,0.98,,0.09,2000,,
2248,Football Manager 2013,Sports,,PC,Sega,Sports Interactive,1.06,,0.96,,0.1,2012,86.0,6.7
2265,Brothers: A Tale of Two Sons,Adventure,T,PC,505 Games,Starbreeze Studios,1.06,,,,,2013,,
2270,The Walking Dead: Season Two,Misc,,PC,Telltale Games,Unknown,1.05,,,,,2014,,
2291,Supreme Commander 2,Strategy,E10,PC,Square Enix,Gas Powered Games,1.05,,,,,2010,77.0,6.2
2297,Super Hexagon,Action,,PC,Unknown,Terry Cavanagh,1.05,,,,,2010,,
2303,Titan Quest,Role-Playing,T,PC,THQ,Iron Lore Entertainment,1.04,,,,,2006,77.0,8.1
2317,Hotline Miami 2: Wrong Number,Shooter,M,PC,Devolver Digital,Dennaton Games,1.04,,,,,2015,,
2332,Assassin's Creed Origins,Action,M,PC,Ubisoft,Ubisoft Montreal,1.03,,,,,2017,,
2339,Tomb Raider,Action,T,PC,Eidos Interactive,Core Design Ltd.,1.03,0.96,0.07,,,1996,86.0,8.5
2344,Serious Sam HD: The First Encounter,Shooter,M,PC,Devolver Digital,Croteam,1.03,,,,,2009,,
2360,The Elder Scrolls Online,MMO,M,PC,Bethesda Softworks,ZeniMax Online Studios,1.02,0.35,0.59,,0.08,2014,71.0,5.7
2366,Braid,Platform,E10,PC,Number None,Number None Inc.,1.01,,,,,2009,90.0,8.6
2370,The Wolf Among Us,Adventure,,PC,Unknown,Telltale Games,1.01,,,,,2010,,
2373,Championship Manager 3,Sports,,PC,Eidos Interactive,Sports Interactive,1.01,,0.93,,0.08,2003,,
2384,Resident Evil 5,Action,M,PC,Capcom,Capcom,1.01,,,,,2009,86.0,7.1
2393,1503 A.D.: The New World,Simulation,,PC,Electronic Arts,Sunflower Studios,1.0,,,,,2003,,
2394,1701 A.D.,Simulation,E10,PC,Aspyr,Related Designs,1.0,,,,,2006,79.0,8.3
2399,Doom 3,Shooter,M,PC,Activision,id Software,1.0,,,,,2004,87.0,7.6
2400,Empire Earth,Strategy,T,PC,Sierra Entertainment,Stainless Steel Studios,1.0,,,,,2001,81.0,8.2
